,name,time,field,value
0,Anglogold - Tropicana,2024-01-09 21:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-09 21:00:00,T,27.1000003815
0,Anglogold - Tropicana,2024-01-09 21:00:00,Wind_Dir,41.5999984741
0,Anglogold - Tropicana,2024-01-09 21:00:00,Wind_Mag,10.3000001907
0,Anglogold - Tropicana,2024-01-09 22:00:00,T,28.5
0,Anglogold - Tropicana,2024-01-09 22:00:00,Wind_Dir,53.5
0,Anglogold - Tropicana,2024-01-09 22:00:00,Wind_Mag,6.59999990463
0,Anglogold - Tropicana,2024-01-09 23:00:00,T,30.6000003815
0,Anglogold - Tropicana,2024-01-09 23:00:00,Wind_Dir,51.0
0,Anglogold - Tropicana,2024-01-09 23:00:00,Wind_Mag,7.80000019073
0,Anglogold - Tropicana,2024-01-10 00:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-10 00:00:00,T,32.9000015259
0,Anglogold - Tropicana,2024-01-10 00:00:00,Wind_Dir,39.9000015259
0,Anglogold - Tropicana,2024-01-10 00:00:00,Wind_Mag,10.3000001907
0,Anglogold - Tropicana,2024-01-10 01:00:00,T,35.0
0,Anglogold - Tropicana,2024-01-10 01:00:00,Wind_Dir,37.5999984741
0,Anglogold - Tropicana,2024-01-10 01:00:00,Wind_Mag,11.1000003815
0,Anglogold - Tropicana,2024-01-10 02:00:00,T,37.0
0,Anglogold - Tropicana,2024-01-10 02:00:00,Wind_Dir,37.7999992371
0,Anglogold - Tropicana,2024-01-10 02:00:00,Wind_Mag,11.3999996185
0,Anglogold - Tropicana,2024-01-10 03:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-10 03:00:00,T,39.4000015259
0,Anglogold - Tropicana,2024-01-10 03:00:00,Wind_Dir,39.2000007629
0,Anglogold - Tropicana,2024-01-10 03:00:00,Wind_Mag,11.3000001907
0,Anglogold - Tropicana,2024-01-10 04:00:00,T,40.4000015259
0,Anglogold - Tropicana,2024-01-10 04:00:00,Wind_Dir,42.7000007629
0,Anglogold - Tropicana,2024-01-10 04:00:00,Wind_Mag,9.39999961853
0,Anglogold - Tropicana,2024-01-10 05:00:00,T,40.9000015259
0,Anglogold - Tropicana,2024-01-10 05:00:00,Wind_Dir,51.7000007629
0,Anglogold - Tropicana,2024-01-10 05:00:00,Wind_Mag,8.19999980927
0,Anglogold - Tropicana,2024-01-10 06:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-10 06:00:00,T,41.4000015259
0,Anglogold - Tropicana,2024-01-10 06:00:00,Wind_Dir,64.5
0,Anglogold - Tropicana,2024-01-10 06:00:00,Wind_Mag,7.40000009537
0,Anglogold - Tropicana,2024-01-10 07:00:00,T,41.5999984741
0,Anglogold - Tropicana,2024-01-10 07:00:00,Wind_Dir,72.3000030518
