windDir,fetch,depth
0,25,
10,25,
20,27,
30,26,
40,25,
50,26,
60,30,
70,40,
80,50,
90,90,
100,102,
110,125,
120,200,
130,U,
140,U,
150,U,
160,U,
170,U,
180,370,
190,350,
200,245,
210,210,
220,200,
230,185,
240,65,
250,55,
260,55,
270,50,
280,37,
290,38,
300,32,
310,25,
320,25,
330,22,
340,20,
350,16,
