windDir,fetch,depth
0,U,
10,U,
20,23,
30,45,
40,U,
50,U,
60,46,
70,48,
80,37,
90,26,
100,23,
110,21,
120,19,
130,14,
140,17,
150,18,
160,17,
170,16,
180,18,
190,19,
200,23,
210,26,
220,37,
230,12,
240,25,
250,U,
260,U,
270,U,
280,U,
290,U,
300,U,
310,U,
320,U,
330,U,
340,U,
350,U,
