windDir,fetch,depth
0,U,
10,U,
20,U,
30,U,
40,U,
50,U,
60,U,
70,7,
80,5.3,
90,5.9,
100,11,
110,9.8,
120,4.4,
130,6.8,
140,6.1,
150,6.2,
160,5.3,
170,5.2,
180,5.1,
190,9.6,
200,20.9,
210,24.3,
220,40.9,
230,U,
240,U,
250,62.1,
260,57,
270,U,
280,U,
290,U,
300,U,
310,U,
320,U,
330,U,
340,U,
350,U,
