windDir,fetch,depth
0,675,
10,680,
20,660,
30,660,
40,770,
50,1085,
60,490,
70,388,
80,315,
90,135,
100,42,
110,37,
120,38,
130,38,
140,35,
150,30,
160,32,
170,32,
180,43,
190,45,
200,58,
210,21,
220,20,
230,15,
240,12,
250,12,
260,12,
270,U,
280,U,
290,U,
300,U,
310,U,
320,U,
330,U,
340,U,
350,U,
