windDir,fetch,depth
0,U,7
10,U,7
20,4.5,7
30,4.5,7
40,8,7
50,2.5,7
60,1.5,7
70,0.5,7
80,2,7
90,0.5,7
100,0.5,7
110,0.5,7
120,0.5,7
130,0.5,7
140,0.5,7
150,0.5,7
160,0.5,7
170,1,7
180,1,7
190,2,7
200,3.5,5
210,4,5
220,5,5
230,7,5
240,7,7
250,5,7
260,4,7
270,4,7
280,5,7
290,5.5,7
300,6.5,7
310,7,7
320,U,7
330,U,7
340,U,7
350,U,7
