windDir,fetch,depth
0,U,
10,U,
20,U,
30,U,
40,79,
50,54,
60,U,
70,76,
80,56,
90,43,
100,29,
110,22,
120,19,
130,18,
140,17.6,
150,16.7,
160,17.7,
170,18.6,
180,26.2,
190,26.9,
200,57.3,
210,49.1,
220,42,
230,32.1,
240,28.7,
250,U,
260,U,
270,U,
280,U,
290,U,
300,U,
310,U,
320,U,
330,U,
340,U,
350,U,
