windDir,fetch,depth
0,U,
10,U,
20,U,
30,U,
40,0.32,
50,0.24,
60,0.17,
70,0.15,
80,0.15,
90,0.14,
100,0.14,
110,0.14,
120,0.13,
130,0.14,
140,0.14,
150,0.19,
160,0.25,
170,0.25,
180,0.5,
190,0.61,
200,0.62,
210,0.58,
220,0.57,
230,4.1,
240,5.15,
250,6.13,
260,6.94,
270,U,
280,U,
290,U,
300,U,
310,U,
320,U,
330,U,
340,U,
350,U,
