windDir,fetch,depth
0,U,
10,U,
20,U,
30,U,
40,U,
50,3.6,
60,3.6,
70,5,
80,4.9,
90,4.9,
100,4.6,
110,3.7,
120,4,
130,4.6,
140,5.2,
150,7,
160,8.4,
170,9.9,
180,12.5,
190,12.9,
200,9.7,
210,4.8,
220,5.5,
230,4.8,
240,3.6,
250,2.8,
260,4.2,
270,64.6,
280,U,
290,U,
300,U,
310,U,
320,U,
330,U,
340,U,
350,U,
