Palm_Passa, -18.2000, 147.2000
Blossom, -19.7500, 150.4000
Outside_Sw, -21.8000, 153.2000
Capricorn_, -22.5000, 152.0000
Archer, -22.7500, 153.4000
Creal, -20.7000, 150.2500
Mid_GoC, -13.0000, 139.0000
South_Will, -16.3500, 150.0000
SW_Eyre, -35.5000, 134.5000
Jansz_PTS, -19.8100, 114.6100
Blackwood, -10.1500, 128.8300
North_Cape, -10.0000, 132.0000
Gladstone, -23.8670, 151.4500
Abbot_Poin, -19.8000, 148.0700
North_East, -13.6200, 136.9700
Van_Diemen, -11.8500, 131.8800
Port_Mac_O, -31.5000, 154.0000
CoralSea1, -15.7980, 158.4000
CoralSea2, -14.8000, 153.5800
IndOcean1, -13.9910, 110.0970
IndOcean2, -15.0230, 117.9420
Tas_Sea_1, -46.8300, 160.2560
Tas_Sea_2, -44.8530, 161.7280
Kurnell, -34.0400, 151.4000
Barossa, -9.8000, 130.2300
Dirk, -20.2500, 111.7500
Blake, -20.1300, 113.2800
Great_Aus_, -34.4700, 130.8000
HDD_Tails, -20.6600, 115.3600
Pluto, -19.9000, 115.1000
Rows_B_Win, -20.2000, 115.4000
Rows_B_Sum, -19.5260, 117.0420
NW_Exmouth, -21.0000, 113.0000
Ichthys, -13.9200, 123.2200
Cape_Cuvie, -24.2000, 113.0000
Onslow_Sal, -21.6000, 115.0000
PH_Beacon1, -20.1800, 118.5000
Macq_Is_We, -54.5000, 157.5000
Scarboroug, -19.8680, 113.1590
Skardon_Ri, -11.7580, 141.9140
Caloundra, -26.8500, 153.1600
Bundaberg, -24.6700, 152.5000
Mandurah, -32.4500, 115.5700
PLA, -20.0000, 115.3700
Reindeer, -20.0200, 116.3100
Casino, -38.7800, 142.6900
Stag, -20.3000, 116.3000
Casino_E, -38.2900, 148.7100
John_Brook, -20.4500, 115.1000
Wando, -20.1400, 116.4200
Calliance, -14.6100, 121.5500
Montara, -12.6700, 124.5500
Wickham, -12.5200, 130.8400
Noblige, -19.4000, 114.3300
Cuvier, -24.2200, 113.4000
Rowley, -16.9000, 120.1000
Barrow4, -20.8000, 115.4800
Varanus, -20.6000, 115.6000
Wheatstone, -21.6700, 115.0000
Cape_prest, -20.6700, 116.1700
Onslow_Jet, -21.6600, 115.1000
Mermaid_sn, -20.5800, 116.7600
SO_58450, -46.8800, 142.3400
Cottesloe, -31.9800, 115.6800
Julimar, -20.1500, 115.0400
Pyxis, -19.8300, 115.1800
Dorado, -19.0300, 118.7300
Gorgon, -20.4900, 114.9000
Capella, -19.4400, 116.0400
Echo_Yodel, -19.7400, 115.7400
Lambert_De, -19.4400, 116.4800
GWF3, -19.7200, 115.8700
